127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 22:07:42 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 22:07:42 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 22:07:42 | UNKNOWN UNKNOWN | 400
127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 304
127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:07:42 | GET /status | 200
127.0.0.1 | 2026-04-20 22:08:23 | GET /status | 200
127.0.0.1 | 2026-04-20 22:08:26 | GET /status | 200
127.0.0.1 | 2026-04-20 22:27:25 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:29:47 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:31:54 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:32:18 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:33:56 | GET /test.png | 404
127.0.0.1 | 2026-04-20 22:35:33 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 22:35:52 | GET /test.jpg | 304
127.0.0.1 | 2026-04-20 22:36:46 | HEAD /test.jpg | 200
127.0.0.1 | 2026-04-20 22:37:30 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 22:37:30 | GET /favicon.ico | 404
127.0.0.1 | 2026-04-20 22:41:04 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 22:43:07 | GET /nonexistent.html | 404
127.0.0.1 | 2026-04-20 22:44:52 | GET /server.py | 404
127.0.0.1 | 2026-04-20 22:45:33 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 22:47:45 | UNKNOWN UNKNOWN | 400
127.0.0.1 | 2026-04-20 22:51:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:53:50 | GET /index | 404
127.0.0.1 | 2026-04-20 22:55:46 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:56:01 | GET /index.html | 304
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:05:49 | GET /index.html | 200
127.0.0.1 | 2026-04-20 23:09:42 | GET /status | 200
127.0.0.1 | 2026-04-20 23:09:53 | GET /status | 200
127.0.0.1 | 2026-04-20 23:09:54 | GET /favicon.ico | 404
127.0.0.1 | 2026-04-20 23:15:41 | GET /test.png | 404
127.0.0.1 | 2026-04-20 23:16:14 | GET /test.jpg | 304
127.0.0.1 | 2026-04-20 23:19:25 | GET /test.jpg | 200
